Done? (Y),Company/Organization,Test Name,Select,*URL,Test Type (Lab or Kit),Country of Origin,US Regulatory Status,Category,Authorized Setting(s) per FDA,Technology,Analyte,Assay,Specimen Type,Transport Media,Gene,Antigen,Sample Prep,Detection,TAT,Analytical Sensitivity (LOD),LOD of FDA Reference Panel (NDU/mL),Cross- Reactivity,PPA/Sensitivity,PPA Sample Size,PPA Specimen Type,NPA/Specificity,NPA Sample Size,NPV @ 5% prevalence,PPV@ 5% prevalence,Manufacturer's Validation Notes,External Quality Control,Process (internal) Control,Positive Control,*Publications,*IFU,*Letter of Authorization (EUA),Creation Date,Modified Date,,,Needs Review
,,,,,,,,,,,,,,,,,,,,,*Don't fill this,,,,,,,,,,,,,,,,,,,,
,Ambry Genetics Laboratory,Ambry COVID-19 RT-PCR Test,,,Lab,USA,"EUA granted January 22, 2021",Laboratory,H,"Real-time RT-PCR, Home Collection, Saliva",RNA,,Sal,,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/145409/download,https://www.fda.gov/media/145406/download,,,,,
,"United Biomedical, Inc.",UBI SARS-CoV-2 ELISA,,,Kit,USA,"EUA granted January 15, 2021",Laboratory,H,Serology ,IgG,ELISA,"Ser, Pla",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/145277/download,https://www.fda.gov/media/145280/download,,,,,
,"Bio-Rad Laboratories, Inc.",Bio-Rad Reliance SARS-CoV-2 RT-PCR Assay Kit,,,Kit,USA,"EUA granted January 15, 2021",Laboratory,H,Molecular ,RNA,rRT-PCR,"NP swab, OP swab, ANs swab, MTNs swab, Ns swab, Ns wash, Ns aspirate",,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/145265/download,https://www.fda.gov/media/145267/download,,,,,
,"SML GENETREE Co., Ltd.",Ezplex SARS-CoV-2 G Kit,,,Kit,Korea,"EUA granted January 13, 2021",Laboratory,H,Molecular ,RNA,"rRT-PCR, pooling","NP swab, OP swab, Spu",,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/145134/download,https://www.fda.gov/media/145131/download,,,,,
,"Ortho Clinical Diagnostics, Inc.",VITROS Immunodiagnostic Products SARS-CoV-2 Antigen Reagent Pack,,,Kit,USA,"EUA granted January 11, 2021",Laboratory,"H, M","Antigen Chemiluminescence Immunoassay, Instrument Read",Antigen,,"NP swab, Ser, Pla",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/145073/download,https://www.fda.gov/media/145069/download,,,,,
,Phadia AB,EliA SARS-CoV-2-Sp1 IgG Test,,,Kit,Sweden,"EUA granted January 11, 2021",Laboratory,"H, M","Serology IgG, Fluoroenzyme Immunoassay, Semi-quantitative",IgG,,"Ser, Pla",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/145089/download,https://www.fda.gov/media/145082/download,,,,,
,"ADVAITE, Inc.",RapCov Rapid COVID-19 Test,,,Kit,USA,"EUA granted January 11, 2021","Laboratory, POC","H, M, W",Serology ,IgG,"Lateral Flow,  Fingerstick Whole Blood",,,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/145080/download,https://www.fda.gov/media/145075/download,,,,,
,Siemens Healthcare Diagnostics Inc.,Dimension EXL SARS‑CoV‑2 IgG (CV2G),,,Kit,USA,"EUA granted January 08, 2021",Laboratory,"H, M",Serology ,IgG,Heterogeneous Immunoassay (CLIA),"Ser, Pla",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/145015/download,https://www.fda.gov/media/145012/download,,,,,
,Siemens Healthcare Diagnostics Inc.,Dimension Vista SARS‑CoV‑2 IgG (COV2G),,,Kit,USA,"EUA granted January 08, 2021",Laboratory,"H, M",Serology,IgG,Heterogeneous Immunoassay (CLIA),"Ser, Pla",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/145020/download,https://www.fda.gov/media/145017/download,,,,,
